x,y,yaw,speed
0.0000,-0.1700,0.0000,3.50
0.1012,-0.1700,0.0000,3.50
0.2023,-0.1700,0.0000,3.50
0.3035,-0.1700,0.0000,3.50
0.4047,-0.1700,0.0000,3.50
0.5058,-0.1700,0.0000,3.50
0.6070,-0.1700,0.0000,3.50
0.7081,-0.1700,0.0000,3.50
0.8093,-0.1700,0.0000,3.50
0.9105,-0.1700,0.0000,3.50
1.0116,-0.1700,0.0000,3.50
1.1128,-0.1700,0.0000,3.50
1.2140,-0.1700,0.0000,3.50
1.3151,-0.1700,0.0000,3.50
1.4163,-0.1700,0.0000,3.50
1.5174,-0.1700,0.0000,3.50
1.6186,-0.1700,0.0000,3.50
1.7198,-0.1700,0.0000,3.50
1.8209,-0.1700,0.0000,3.50
1.9221,-0.1700,0.0000,3.50
2.0233,-0.1700,0.0000,3.50
2.1244,-0.1700,0.0000,3.50
2.2256,-0.1700,0.0000,3.50
2.3267,-0.1700,0.0000,3.50
2.4279,-0.1700,0.0000,3.50
2.5291,-0.1700,0.0000,3.50
2.6302,-0.1700,0.0000,3.50
2.7314,-0.1700,0.0000,3.50
2.8326,-0.1700,0.0000,3.50
2.9337,-0.1700,0.0000,3.50
3.0349,-0.1700,0.0000,3.50
3.1360,-0.1700,0.0000,3.50
3.2372,-0.1700,0.0000,3.50
3.3384,-0.1700,0.0000,3.50
3.4395,-0.1700,0.0000,3.50
3.5407,-0.1700,0.0000,3.50
3.6419,-0.1700,0.0000,3.50
3.7430,-0.1700,0.0000,3.50
3.8442,-0.1700,0.0000,3.50
3.9453,-0.1700,0.0000,3.50
4.0465,-0.1700,0.0000,3.50
4.1477,-0.1700,0.0000,3.50
4.2488,-0.1700,0.0000,3.50
4.3500,-0.1700,0.0000,3.50
4.4512,-0.1700,0.0000,3.50
4.5523,-0.1700,0.0000,3.50
4.6535,-0.1700,0.0000,3.50
4.7547,-0.1700,0.0000,3.50
4.8558,-0.1700,0.0000,3.50
4.9570,-0.1700,0.0000,3.50
5.0581,-0.1700,0.0000,3.50
5.1593,-0.1700,0.0000,3.50
5.2605,-0.1700,0.0000,3.50
5.3616,-0.1700,0.0000,3.50
5.4628,-0.1700,0.0000,3.50
5.5640,-0.1700,0.0000,3.50
5.6651,-0.1700,0.0000,3.50
5.7663,-0.1700,0.0000,3.50
5.8674,-0.1700,0.0000,3.50
5.9686,-0.1700,0.0000,3.50
6.0698,-0.1700,0.0000,3.50
6.1709,-0.1700,0.0000,3.50
6.2721,-0.1700,0.0000,3.50
6.3733,-0.1700,0.0000,3.50
6.4744,-0.1700,0.0000,3.50
6.5756,-0.1700,0.0000,3.50
6.6767,-0.1700,0.0000,3.50
6.7779,-0.1700,0.0000,3.50
6.8791,-0.1700,0.0000,3.50
6.9802,-0.1700,0.0000,3.50
7.0814,-0.1700,0.0000,3.50
7.1826,-0.1700,0.0000,3.50
7.2837,-0.1700,0.0000,3.50
7.3849,-0.1700,0.0000,3.50
7.4860,-0.1700,0.0000,3.50
7.5872,-0.1700,0.0000,3.50
7.6884,-0.1700,0.0000,3.50
7.7895,-0.1700,0.0000,3.50
7.8907,-0.1700,0.0000,3.50
7.9919,-0.1700,0.0000,3.50
8.0930,-0.1700,0.0000,3.50
8.1942,-0.1700,0.0000,3.50
8.2953,-0.1700,0.0000,3.50
8.3965,-0.1700,0.0000,3.50
8.4977,-0.1700,0.0000,3.50
8.5988,-0.1700,-0.0000,3.50
8.7000,-0.1700,0.0524,1.80
8.8045,-0.1645,0.1571,1.80
8.9079,-0.1481,0.2618,1.80
9.0090,-0.1211,0.3665,1.80
9.1067,-0.0835,0.4712,1.80
9.2000,-0.0360,0.5760,1.80
9.2878,0.0210,0.6807,1.80
9.3691,0.0869,0.7854,1.80
9.4431,0.1609,0.8901,1.80
9.5090,0.2422,0.9948,1.80
9.5660,0.3300,1.0996,1.80
9.6135,0.4233,1.2043,1.80
9.6511,0.5210,1.3090,1.80
9.6781,0.6221,1.4137,1.80
9.6945,0.7255,1.5184,1.80
9.7000,0.8300,1.5708,3.50
9.7000,0.9313,1.5708,3.50
9.7000,1.0327,1.5708,3.50
9.7000,1.1340,1.5708,3.50
9.7000,1.2354,1.5708,3.50
9.7000,1.3367,1.5708,3.50
9.7000,1.4381,1.5708,3.50
9.7000,1.5394,1.5708,3.50
9.7000,1.6407,1.5708,3.50
9.7000,1.7421,1.5708,3.50
9.7000,1.8434,1.5708,3.50
9.7000,1.9448,1.5708,3.50
9.7000,2.0461,1.5708,3.50
9.7000,2.1475,1.5708,3.50
9.7000,2.2488,1.5708,3.50
9.7000,2.3501,1.5708,3.50
9.7000,2.4515,1.5708,3.50
9.7000,2.5528,1.5708,3.50
9.7000,2.6542,1.5708,3.50
9.7000,2.7555,1.5708,3.50
9.7000,2.8569,1.5708,3.50
9.7000,2.9582,1.5708,3.50
9.7000,3.0596,1.5708,3.50
9.7000,3.1609,1.5708,3.50
9.7000,3.2622,1.5708,3.50
9.7000,3.3636,1.5708,3.50
9.7000,3.4649,1.5708,3.50
9.7000,3.5663,1.5708,3.50
9.7000,3.6676,1.5708,3.50
9.7000,3.7690,1.5708,3.50
9.7000,3.8703,1.5708,3.50
9.7000,3.9716,1.5708,3.50
9.7000,4.0730,1.5708,3.50
9.7000,4.1743,1.5708,3.50
9.7000,4.2757,1.5708,3.50
